fund,family,method,ann_return,ann_vol,sharpe,max_drawdown,n_assets,first_oos_date
Equity Equal-Weight,equity,equal_weight,0.13828162006306932,0.16164918683397742,0.8554427199506555,-0.20321862626913567,50,2021-02-01
Equity Min-Variance,equity,min_variance,0.07845320637380383,0.1279188824570086,0.6133043446511554,-0.18346151279910006,13,2021-02-01
Equity Risk-Parity,equity,risk_parity,0.11324013600942838,0.1499862663180712,0.7550033665701336,-0.1956682941158172,50,2021-02-01
Equity Max-Sharpe,equity,max_sharpe,0.16814902712727275,0.23298557762092745,0.7217143174452405,-0.3870325635178661,6,2021-02-01
Crypto Equal-Weight,crypto,equal_weight,0.7494506956673271,0.8095162458516274,0.9258006859132146,-0.8159730614257941,10,2020-10-01
Crypto Min-Variance,crypto,min_variance,0.7334301647827589,0.6513051376239107,1.126093012959266,-0.7558595768342526,2,2020-10-01
Crypto Risk-Parity,crypto,risk_parity,0.7575476146137375,0.7939564789397925,0.9541424935851982,-0.8042605505025067,10,2020-10-01
Crypto Max-Sharpe,crypto,max_sharpe,0.5358492501823156,0.7997036936513277,0.6700597414221109,-0.8563789562326258,3,2020-10-01
Combined Equal-Weight,combined,equal_weight,0.16044411455211302,0.21062523685312656,0.7617516160420705,-0.28746987990265527,60,2021-02-01
Combined Min-Variance,combined,min_variance,0.0783860854859267,0.1279251735191588,0.6127494951115868,-0.18361372931456565,13,2021-02-01
Combined Risk-Parity,combined,risk_parity,0.13580363323690722,0.17097263594560055,0.7943004006800054,-0.22925670241224572,60,2021-02-01
Combined Max-Sharpe,combined,max_sharpe,0.09724065346958613,0.33033796526059167,0.29436717451739614,-0.5274113673032379,10,2021-02-01
Equity Equal-Weight + Sentiment,equity,equal_weight+sentiment,0.14806018003563143,0.1600333451280809,0.9251833104977786,-0.1836990652406777,49,2021-02-01
Equity Min-Variance + Sentiment,equity,min_variance+sentiment,0.04466136698878238,0.13395913710839674,0.3333954514251865,-0.21042837618455146,13,2021-02-01
Equity Risk-Parity + Sentiment,equity,risk_parity+sentiment,0.11643400669121014,0.1493670987251213,0.7795157547076844,-0.18336268697712355,49,2021-02-01
Equity Max-Sharpe + Sentiment,equity,max_sharpe+sentiment,0.14376592082781592,0.2419361975706382,0.5942307197989277,-0.40144580830327403,6,2021-02-01
Equity Equal-Weight + Attention,equity,equal_weight+attention,0.14093508688570822,0.16177276078400007,0.8711917025010506,-0.1953228997902745,50,2021-02-01
Equity Min-Variance + Attention,equity,min_variance+attention,0.07796567337577079,0.1273197542518467,0.6123611676279994,-0.19748017781797,13,2021-02-01
Equity Risk-Parity + Attention,equity,risk_parity+attention,0.11610572203172953,0.15037661498869118,0.7720995850349542,-0.18983426597090725,50,2021-02-01
Equity Max-Sharpe + Attention,equity,max_sharpe+attention,0.17780978329640065,0.23456666562764003,0.7580351744380533,-0.37571996742176783,6,2021-02-01
